zip,commune,province,rank
7782,COMINES-WARNETON,Hainaut,503.0
7034,MONS,Hainaut,40.0
5003,NAMUR,Namur,258.0
5364,HAMOIS,Namur,413.0
4100,SERAING,Liège,26.0
9830,SINT-MARTENS-LATEM,Flandre-Orientale,579.0
1932,ZAVENTEM,Brabant Flamand,510.0
5140,SOMBREFFE,Namur,215.0
4840,WELKENRAEDT,Liège,170.0
3020,HERENT,Brabant Flamand,518.0
2050,ANTWERPEN,Anvers,334.0
8580,AVELGEM,Flandre-Occidentale,105.0
6987,RENDEUX,Luxembourg,11.0
7320,BERNISSART,Hainaut,96.0
3950,BOCHOLT,Limbourg,251.0
4653,HERVE,Liège,431.0
6880,BERTRIX,Luxembourg,59.0
8740,PITTEM,Flandre-Occidentale,394.0
2520,RANST,Anvers,528.0
5572,BEAURAING,Namur,38.0
6800,LIBRAMONT-CHEVIGNY,Luxembourg,173.0
7530,TOURNAI,Hainaut,281.0
5024,NAMUR,Namur,258.0
2280,GROBBENDONK,Anvers,463.0
6723,HABAY,Luxembourg,355.0
5540,HASTIÈRE,Namur,14.0
7021,MONS,Hainaut,40.0
2620,HEMIKSEM,Anvers,298.0
4682,OUPEYE,Liège,132.0
9750,KRUISEM,Flandre-Orientale,519.0
1540,HERNE,Brabant Flamand,498.0
4217,HÉRON,Liège,272.0
8510,KORTRIJK,Flandre-Occidentale,352.0
3470,KORTENAKEN,Brabant Flamand,300.0
2811,MECHELEN,Anvers,479.0
8810,LICHTERVELDE,Flandre-Occidentale,321.0
9680,MAARKEDAL,Flandre-Orientale,505.0
2328,HOOGSTRATEN,Anvers,500.0
8377,ZUIENKERKE,Flandre-Occidentale,561.0
2330,MERKSPLAS,Anvers,212.0
9771,KRUISEM,Flandre-Orientale,519.0
3321,HOEGAARDEN,Brabant Flamand,514.0
7322,BERNISSART,Hainaut,96.0
4610,BEYNE-HEUSAY,Liège,164.0
7804,ATH,Hainaut,104.0
8730,BEERNEM,Flandre-Occidentale,483.0
6997,EREZÉE,Luxembourg,109.0
9250,WAASMUNSTER,Flandre-Orientale,567.0
1170,WATERMAEL-BOITSFORT,Bruxelles (19 communes),575.0
2390,MALLE,Anvers,435.0
2018,ANTWERPEN,Anvers,334.0
7910,FRASNES-LEZ-ANVAING,Hainaut,340.0
9120,BEVEREN-WAAS,Flandre-Orientale,316.0
9552,HERZELE,Flandre-Orientale,363.0
1420,BRAINE-L'ALLEUD,Brabant Wallon,488.0
1501,HALLE,Brabant Flamand,399.0
1490,COURT-SAINT-ETIENNE,Brabant Wallon,381.0
6972,TENNEVILLE,Luxembourg,183.0
1570,GALMAARDEN,Brabant Flamand,362.0
9050,GENT,Flandre-Orientale,496.0
4834,LIMBOURG,Liège,6.0
1702,DILBEEK,Brabant Flamand,487.0
6950,NASSOGNE,Luxembourg,102.0
3717,HERSTAPPE,Limbourg,128.0
1701,DILBEEK,Brabant Flamand,487.0
3381,GLABBEEK,Brabant Flamand,478.0
8420,DE HAAN,Flandre-Occidentale,257.0
1310,LA HULPE,Brabant Wallon,537.0
6821,FLORENVILLE,Luxembourg,29.0
1348,OTTIGNIES-LOUVAIN-LA-NEUVE,Brabant Wallon,523.0
2240,ZANDHOVEN,Anvers,459.0
5372,HAVELANGE,Namur,248.0
3391,TIELT-WINGE,Brabant Flamand,354.0
4837,BAELEN,Liège,230.0
6031,CHARLEROI,Hainaut,19.0
5520,ONHAYE,Namur,133.0
3050,OUD-HEVERLEE,Brabant Flamand,557.0
3202,AARSCHOT,Brabant Flamand,335.0
9932,LIEVEGEM,Flandre-Orientale,408.0
6596,MOMIGNIES,Hainaut,3.0
7032,MONS,Hainaut,40.0
4970,STAVELOT,Liège,273.0
1402,NIVELLES,Brabant Wallon,284.0
4263,BRAIVES,Liège,245.0
6741,ETALLE,Luxembourg,370.0
9260,WICHELEN,Flandre-Orientale,190.0
3520,ZONHOVEN,Limbourg,359.0
2840,RUMST,Anvers,407.0
6221,FLEURUS,Hainaut,35.0
6781,MESSANCY,Luxembourg,427.0
2860,SINT-KATELIJNE-WAVER,Anvers,447.0
9981,SINT-LAUREINS,Flandre-Orientale,221.0
1700,DILBEEK,Brabant Flamand,487.0
1541,HERNE,Brabant Flamand,498.0
4900,SPA,Liège,522.0
3631,MAASMECHELEN,Limbourg,269.0
4652,HERVE,Liège,431.0
2370,ARENDONK,Anvers,403.0
4340,AWANS,Liège,369.0
1650,BEERSEL,Brabant Flamand,490.0
1673,PEPINGEN,Brabant Flamand,576.0
1082,BERCHEM-SAINTE-AGATHE,Bruxelles (19 communes),366.0
2590,BERLAAR,Anvers,502.0
4960,MALMEDY,Liège,197.0
5561,HOUYET,Namur,129.0
7033,MONS,Hainaut,40.0
7711,MOUSCRON,Hainaut,172.0
1040,ETTERBEEK,Bruxelles (19 communes),540.0
7863,LESSINES,Hainaut,112.0
6724,HABAY,Luxembourg,355.0
6040,CHARLEROI,Hainaut,19.0
2500,LIER,Anvers,390.0
1770,LIEDEKERKE,Brabant Flamand,244.0
8958,HEUVELLAND,Flandre-Occidentale,55.0
9880,AALTER,Flandre-Orientale,318.0
4920,AYWAILLE,Liège,148.0
6663,HOUFFALIZE,Luxembourg,47.0
3560,LUMMEN,Limbourg,409.0
4041,HERSTAL,Liège,93.0
3680,MAASEIK,Limbourg,426.0
5564,HOUYET,Namur,129.0
8978,POPERINGE,Flandre-Occidentale,163.0
4452,JUPRELLE,Liège,418.0
3990,PEER,Limbourg,188.0
3012,LEUVEN,Brabant Flamand,465.0
8750,WINGENE,Flandre-Occidentale,280.0
4761,BULLANGE,Liège,54.0
1210,SAINT-JOSSE-TEN-NOODE,Bruxelles (19 communes),270.0
7180,SENEFFE,Hainaut,211.0
9572,LIERDE,Flandre-Orientale,386.0
8490,JABBEKE,Flandre-Occidentale,461.0
5646,METTET,Namur,139.0
7950,CHIÈVRES,Hainaut,48.0
3570,ALKEN,Limbourg,372.0
6790,AUBANGE,Luxembourg,233.0
6706,ARLON,Luxembourg,309.0
1674,PEPINGEN,Brabant Flamand,576.0
4760,BULLANGE,Liège,54.0
9470,DENDERLEEUW,Flandre-Orientale,213.0
1982,ZEMST,Brabant Flamand,521.0
7181,SENEFFE,Hainaut,211.0
5576,BEAURAING,Namur,38.0
9308,AALST,Flandre-Orientale,227.0
6041,CHARLEROI,Hainaut,19.0
9220,HAMME,Flandre-Orientale,154.0
7801,ATH,Hainaut,104.0
1950,KRAAINEM,Brabant Flamand,577.0
6142,FONTAINE-L'EVÊQUE,Hainaut,50.0
8434,MIDDELKERKE,Flandre-Occidentale,71.0
1651,BEERSEL,Brabant Flamand,490.0
5374,HAVELANGE,Namur,248.0
6820,FLORENVILLE,Luxembourg,29.0
7062,SOIGNIES,Hainaut,67.0
4121,NEUPRÉ,Liège,457.0
4877,OLNE,Liège,264.0
8780,OOSTROZEBEKE,Flandre-Occidentale,405.0
4210,BURDINNE,Liège,147.0
9406,NINOVE,Flandre-Orientale,267.0
8301,KNOKKE-HEIST,Flandre-Occidentale,570.0
9600,RENAIX,Flandre-Orientale,137.0
3110,ROTSELAAR,Brabant Flamand,384.0
8200,BRUGGE,Flandre-Occidentale,467.0
7951,CHIÈVRES,Hainaut,48.0
1602,SINT-PIETERS-LEEUW,Brabant Flamand,448.0
9230,WETTEREN,Flandre-Orientale,216.0
2990,WUUSTWEZEL,Anvers,433.0
8511,KORTRIJK,Flandre-Occidentale,352.0
6250,AISEAU-PRESLES,Hainaut,204.0
7972,BELOEIL,Hainaut,347.0
9111,SINT-NIKLAAS,Flandre-Orientale,319.0
4500,HUY,Liège,84.0
3581,BERINGEN,Limbourg,193.0
1404,NIVELLES,Brabant Wallon,284.0
6850,PALISEUL,Luxembourg,131.0
5022,NAMUR,Namur,258.0
1620,DROGENBOS,Brabant Flamand,401.0
1653,BEERSEL,Brabant Flamand,490.0
1671,PEPINGEN,Brabant Flamand,576.0
6141,FONTAINE-L'EVÊQUE,Hainaut,50.0
6534,THUIN,Hainaut,106.0
3945,HAM,Limbourg,301.0
7321,BERNISSART,Hainaut,96.0
1461,ITTRE,Brabant Wallon,474.0
9571,LIERDE,Flandre-Orientale,386.0
3191,BOORTMEERBEEK,Brabant Flamand,484.0
1560,HOEILAART,Brabant Flamand,552.0
3010,LEUVEN,Brabant Flamand,465.0
4710,LONTZEN,Liège,323.0
1471,GENAPPE,Brabant Wallon,506.0
6593,MOMIGNIES,Hainaut,3.0
5330,ASSESSE,Namur,367.0
2321,HOOGSTRATEN,Anvers,500.0
8930,MENEN,Flandre-Occidentale,107.0
2170,ANTWERPEN,Anvers,334.0
7000,MONS,Hainaut,40.0
6043,CHARLEROI,Hainaut,19.0
7610,RUMES,Hainaut,56.0
7730,ESTAIMPUIS,Hainaut,343.0
6662,HOUFFALIZE,Luxembourg,47.0
9290,BERLARE,Flandre-Orientale,454.0
4051,CHAUDFONTAINE,Liège,253.0
7390,QUAREGNON,Hainaut,9.0
1970,WEZEMBEEK-OPPEM,Brabant Flamand,553.0
3722,KORTESSEM,Limbourg,206.0
8952,HEUVELLAND,Flandre-Occidentale,55.0
1331,RIXENSART,Brabant Wallon,568.0
7330,SAINT-GHISLAIN,Hainaut,36.0
8840,STADEN,Flandre-Occidentale,331.0
7333,SAINT-GHISLAIN,Hainaut,36.0
3272,SCHERPENHEUVEL-ZICHEM,Brabant Flamand,195.0
5502,DINANT,Namur,138.0
8640,VLETEREN,Flandre-Occidentale,152.0
4841,WELKENRAEDT,Liège,170.0
7624,BRUNEHAUT,Hainaut,441.0
3720,KORTESSEM,Limbourg,206.0
1670,PEPINGEN,Brabant Flamand,576.0
2140,ANTWERPEN,Anvers,334.0
8000,BRUGGE,Flandre-Occidentale,467.0
6222,FLEURUS,Hainaut,35.0
4050,CHAUDFONTAINE,Liège,253.0
4602,VISÉ,Liège,150.0
7780,COMINES-WARNETON,Hainaut,503.0
6010,CHARLEROI,Hainaut,19.0
5562,HOUYET,Namur,129.0
7864,LESSINES,Hainaut,112.0
6060,CHARLEROI,Hainaut,19.0
1981,ZEMST,Brabant Flamand,521.0
7301,BOUSSU,Hainaut,16.0
3060,BERTEM,Brabant Flamand,515.0
6001,CHARLEROI,Hainaut,19.0
3320,HOEGAARDEN,Brabant Flamand,514.0
9870,ZULTE,Flandre-Orientale,458.0
9041,GENT,Flandre-Orientale,496.0
9931,LIEVEGEM,Flandre-Orientale,408.0
1421,BRAINE-L'ALLEUD,Brabant Wallon,488.0
1357,HÉLÉCINE,Brabant Wallon,176.0
7802,ATH,Hainaut,104.0
8553,ZWEVEGEM,Flandre-Occidentale,158.0
6929,DAVERDISSE,Luxembourg,485.0
9960,ASSENEDE,Flandre-Orientale,324.0
3404,LANDEN,Brabant Flamand,73.0
6824,FLORENVILLE,Luxembourg,29.0
4820,DISON,Liège,21.0
6740,ETALLE,Luxembourg,370.0
4458,JUPRELLE,Liège,418.0
6140,FONTAINE-L'EVÊQUE,Hainaut,50.0
7643,ANTOING,Hainaut,7.0
1083,GANSHOREN,Bruxelles (19 communes),209.0
7742,PECQ,Hainaut,278.0
3001,LEUVEN,Brabant Flamand,465.0
2660,ANTWERPEN,Anvers,334.0
7781,COMINES-WARNETON,Hainaut,503.0
3140,KEERBERGEN,Brabant Flamand,541.0
8680,KOEKELARE,Flandre-Occidentale,266.0
6670,GOUVY,Luxembourg,434.0
4431,ANS,Liège,66.0
9402,NINOVE,Flandre-Orientale,267.0
8430,MIDDELKERKE,Flandre-Occidentale,71.0
1080,MOLENBEEK-SAINT-JEAN,Bruxelles (19 communes),238.0
2250,OLEN,Anvers,357.0
4122,NEUPRÉ,Liège,457.0
5574,BEAURAING,Namur,38.0
9910,AALTER,Flandre-Orientale,318.0
9770,KRUISEM,Flandre-Orientale,519.0
6980,LA ROCHE-EN-ARDENNE,Luxembourg,70.0
7860,LESSINES,Hainaut,112.0
7900,LEUZE-EN-HAINAUT,Hainaut,237.0
4783,SAINT-VITH,Liège,58.0
4623,FLÉRON,Liège,97.0
9551,HERZELE,Flandre-Orientale,363.0
7912,FRASNES-LEZ-ANVAING,Hainaut,340.0
6812,CHINY,Luxembourg,130.0
4550,NANDRIN,Liège,419.0
3473,KORTENAKEN,Brabant Flamand,300.0
2800,MECHELEN,Anvers,479.0
8953,HEUVELLAND,Flandre-Occidentale,55.0
4160,ANTHISNES,Liège,42.0
2340,BEERSE,Anvers,378.0
2820,BONHEIDEN,Anvers,559.0
1761,ROOSDAAL,Brabant Flamand,439.0
7602,PÉRUWELZ,Hainaut,57.0
4032,LIÈGE,Liège,83.0
4170,COMBLAIN-AU-PONT,Liège,60.0
9031,GENT,Flandre-Orientale,496.0
5524,ONHAYE,Namur,133.0
4802,VERVIERS,Liège,72.0
4162,ANTHISNES,Liège,42.0
2950,KAPELLEN,Anvers,527.0
1630,LINKEBEEK,Brabant Flamand,555.0
6211,LES BONS VILLERS,Hainaut,286.0
9255,BUGGENHOUT,Flandre-Orientale,456.0
6240,FARCIENNES,Hainaut,18.0
2230,HERSELT,Anvers,292.0
3150,HAACHT,Brabant Flamand,365.0
8820,TORHOUT,Flandre-Occidentale,290.0
3832,WELLEN,Limbourg,388.0
7536,TOURNAI,Hainaut,281.0
3501,HASSELT,Limbourg,411.0
9240,ZELE,Flandre-Orientale,320.0
3461,BEKKEVOORT,Brabant Flamand,224.0
6674,GOUVY,Luxembourg,434.0
1060,SAINT-GILLES,Bruxelles (19 communes),551.0
2223,HEIST-OP-DEN-BERG,Anvers,450.0
7901,LEUZE-EN-HAINAUT,Hainaut,237.0
7533,TOURNAI,Hainaut,281.0
1780,WEMMEL,Brabant Flamand,524.0
2630,AARTSELAAR,Anvers,509.0
1652,BEERSEL,Brabant Flamand,490.0
2000,ANTWERPEN,Anvers,334.0
2387,BAARLE-HERTOG,Anvers,578.0
7130,BINCHE,Hainaut,33.0
5004,NAMUR,Namur,258.0
4632,SOUMAGNE,Liège,205.0
6000,CHARLEROI,Hainaut,19.0
2180,ANTWERPEN,Anvers,334.0
3078,KORTENBERG,Brabant Flamand,546.0
8830,HOOGLEDE,Flandre-Occidentale,349.0
5353,OHEY,Namur,223.0
6698,VIELSALM,Luxembourg,92.0
1476,GENAPPE,Brabant Wallon,506.0
8860,LENDELEDE,Flandre-Occidentale,241.0
4254,GEER,Liège,226.0
3971,LEOPOLDSBURG,Limbourg,122.0
8531,HARELBEKE,Flandre-Occidentale,161.0
8211,ZEDELGEM,Flandre-Occidentale,414.0
4430,ANS,Liège,66.0
8310,BRUGGE,Flandre-Occidentale,467.0
4052,CHAUDFONTAINE,Liège,253.0
7641,ANTOING,Hainaut,7.0
7024,MONS,Hainaut,40.0
2480,DESSEL,Anvers,296.0
6836,BOUILLON,Luxembourg,44.0
2650,EDEGEM,Anvers,416.0
7012,MONS,Hainaut,40.0
9000,GENT,Flandre-Orientale,496.0
4684,OUPEYE,Liège,132.0
1428,BRAINE-L'ALLEUD,Brabant Wallon,488.0
3210,LUBBEEK,Brabant Flamand,476.0
7522,TOURNAI,Hainaut,281.0
3910,PELT,Limbourg,432.0
4721,LA CALAMINE,Liège,89.0
9681,MAARKEDAL,Flandre-Orientale,505.0
2243,ZANDHOVEN,Anvers,459.0
2470,RETIE,Anvers,295.0
4470,SAINT-GEORGES-SUR-MEUSE,Liège,151.0
6542,LOBBES,Hainaut,246.0
4782,SAINT-VITH,Liège,58.0
4861,PEPINSTER,Liège,69.0
7520,TOURNAI,Hainaut,281.0
4670,BLÉGNY,Liège,374.0
8908,IEPER,Flandre-Occidentale,265.0
2350,VOSSELAAR,Anvers,516.0
3118,ROTSELAAR,Brabant Flamand,384.0
2060,ANTWERPEN,Anvers,334.0
6594,MOMIGNIES,Hainaut,3.0
5000,NAMUR,Namur,258.0
1301,WAVRE,Brabant Wallon,493.0
2850,BOOM,Anvers,232.0
6200,CHÂTELET,Hainaut,25.0
7880,FLOBECQ,Hainaut,250.0
5334,ASSESSE,Namur,367.0
7503,TOURNAI,Hainaut,281.0
7823,ATH,Hainaut,104.0
6704,ARLON,Luxembourg,309.0
4728,LA CALAMINE,Liège,89.0
9270,LAARNE,Flandre-Orientale,499.0
1081,KOEKELBERG,Bruxelles (19 communes),140.0
4261,BRAIVES,Liège,245.0
8432,MIDDELKERKE,Flandre-Occidentale,71.0
7140,MORLANWELZ,Hainaut,34.0
2861,SINT-KATELIJNE-WAVER,Anvers,447.0
3660,OUDSBERGEN,Limbourg,156.0
3090,OVERIJSE,Brabant Flamand,571.0
9661,BRAKEL,Flandre-Orientale,395.0
1800,VILVOORDE,Brabant Flamand,307.0
6951,NASSOGNE,Luxembourg,102.0
4651,HERVE,Liège,431.0
6672,GOUVY,Luxembourg,434.0
7970,BELOEIL,Hainaut,347.0
6687,BERTOGNE,Luxembourg,184.0
7803,ATH,Hainaut,104.0
6742,ETALLE,Luxembourg,370.0
6180,COURCELLES,Hainaut,41.0
6020,CHARLEROI,Hainaut,19.0
2570,DUFFEL,Anvers,397.0
4731,RAEREN,Liège,311.0
7943,BRUGELETTE,Hainaut,62.0
7906,LEUZE-EN-HAINAUT,Hainaut,237.0
6181,COURCELLES,Hainaut,41.0
3053,OUD-HEVERLEE,Brabant Flamand,557.0
8530,HARELBEKE,Flandre-Occidentale,161.0
4771,AMBLÈVE,Liège,8.0
8956,HEUVELLAND,Flandre-Occidentale,55.0
6540,LOBBES,Hainaut,246.0
6924,WELLIN,Luxembourg,303.0
7850,ENGHIEN,Hainaut,472.0
5376,HAVELANGE,Namur,248.0
2322,HOOGSTRATEN,Anvers,500.0
1120,BRUXELLES,Bruxelles (19 communes),494.0
9051,GENT,Flandre-Orientale,496.0
6721,HABAY,Luxembourg,355.0
3665,AS,Limbourg,181.0
7941,BRUGELETTE,Hainaut,62.0
5336,ASSESSE,Namur,367.0
4218,HÉRON,Liège,272.0
1831,MACHELEN,Brabant Flamand,276.0
5644,METTET,Namur,139.0
4130,ESNEUX,Liège,385.0
2440,GEEL,Anvers,254.0
7041,QUÉVY,Hainaut,74.0
4730,RAEREN,Liège,311.0
7334,SAINT-GHISLAIN,Hainaut,36.0
2200,HERENTALS,Anvers,293.0
4681,OUPEYE,Liège,132.0
2920,KALMTHOUT,Anvers,538.0
7621,BRUNEHAUT,Hainaut,441.0
9521,SINT-LIEVENS-HOUTEM,Flandre-Orientale,356.0
2845,NIEL,Anvers,317.0
7861,LESSINES,Hainaut,112.0
1742,TERNAT,Brabant Flamand,492.0
2381,RAVELS,Anvers,547.0
3806,SINT-TRUIDEN,Limbourg,192.0
1457,WALHAIN,Brabant Wallon,442.0
3111,ROTSELAAR,Brabant Flamand,384.0
4257,BERLOZ,Liège,415.0
4851,PLOMBIÈRES,Liège,149.0
7973,BELOEIL,Hainaut,347.0
3054,OUD-HEVERLEE,Brabant Flamand,557.0
9300,AALST,Flandre-Orientale,227.0
7380,QUIÉVRAIN,Hainaut,2.0
2600,ANTWERPEN,Anvers,334.0
8791,WAREGEM,Flandre-Occidentale,297.0
5542,HASTIÈRE,Namur,14.0
7603,PÉRUWELZ,Hainaut,57.0
2150,BORSBEEK,Anvers,313.0
2288,GROBBENDONK,Anvers,463.0
7133,BINCHE,Hainaut,33.0
4700,EUPEN,Liège,169.0
6686,BERTOGNE,Luxembourg,184.0
3792,FOURONS,Limbourg,480.0
1851,GRIMBERGEN,Brabant Flamand,436.0
3970,LEOPOLDSBURG,Limbourg,122.0
2547,LINT,Anvers,449.0
5501,DINANT,Namur,138.0
3920,LOMMEL,Limbourg,256.0
4633,SOUMAGNE,Liège,205.0
6061,CHARLEROI,Hainaut,19.0
9403,NINOVE,Flandre-Orientale,267.0
7020,MONS,Hainaut,40.0
5352,OHEY,Namur,223.0
6692,VIELSALM,Luxembourg,92.0
4621,FLÉRON,Liège,97.0
6044,CHARLEROI,Hainaut,19.0
4606,DALHEM,Liège,377.0
3980,TESSENDERLO,Limbourg,304.0
3793,FOURONS,Limbourg,480.0
4791,BURG-REULAND,Liège,88.0
7031,MONS,Hainaut,40.0
9950,LIEVEGEM,Flandre-Orientale,408.0
6223,FLEURUS,Hainaut,35.0
4983,TROIS-PONTS,Liège,360.0
6834,BOUILLON,Luxembourg,44.0
2530,BOECHOUT,Anvers,495.0
2221,HEIST-OP-DEN-BERG,Anvers,450.0
2930,BRASSCHAAT,Anvers,529.0
6971,TENNEVILLE,Luxembourg,183.0
7903,LEUZE-EN-HAINAUT,Hainaut,237.0
4253,GEER,Liège,226.0
3071,KORTENBERG,Brabant Flamand,546.0
3600,GENK,Limbourg,180.0
3582,BERINGEN,Limbourg,193.0
3000,LEUVEN,Brabant Flamand,465.0
6238,PONT-À-CELLES,Hainaut,108.0
9180,MOERBEKE-WAAS,Flandre-Orientale,288.0
8950,HEUVELLAND,Flandre-Occidentale,55.0
6831,BOUILLON,Luxembourg,44.0
3621,LANAKEN,Limbourg,125.0
4624,FLÉRON,Liège,97.0
9112,SINT-NIKLAAS,Flandre-Orientale,319.0
8573,ANZEGEM,Flandre-Occidentale,330.0
4161,ANTHISNES,Liège,42.0
2531,BOECHOUT,Anvers,495.0
9772,KRUISEM,Flandre-Orientale,519.0
3831,WELLEN,Limbourg,388.0
1050,IXELLES,Bruxelles (19 communes),564.0
7811,ATH,Hainaut,104.0
3128,TREMELO,Brabant Flamand,446.0
7300,BOUSSU,Hainaut,16.0
7642,ANTOING,Hainaut,7.0
1341,OTTIGNIES-LOUVAIN-LA-NEUVE,Brabant Wallon,523.0
5641,METTET,Namur,139.0
1090,JETTE,Bruxelles (19 communes),259.0
6642,VAUX-SUR-SÛRE,Luxembourg,143.0
8572,ANZEGEM,Flandre-Occidentale,330.0
3070,KORTENBERG,Brabant Flamand,546.0
3201,AARSCHOT,Brabant Flamand,335.0
9971,KAPRIJKE,Flandre-Orientale,530.0
9990,MALDEGEM,Flandre-Orientale,312.0
6590,MOMIGNIES,Hainaut,3.0
6032,CHARLEROI,Hainaut,19.0
6511,BEAUMONT,Hainaut,28.0
1853,GRIMBERGEN,Brabant Flamand,436.0
1472,GENAPPE,Brabant Wallon,506.0
1474,GENAPPE,Brabant Wallon,506.0
2110,WIJNEGEM,Anvers,535.0
1200,WOLUWE-SAINT-LAMBERT,Bruxelles (19 communes),539.0
3130,BEGIJNENDIJK,Brabant Flamand,396.0
3211,LUBBEEK,Brabant Flamand,476.0
9900,EEKLO,Flandre-Orientale,220.0
7502,TOURNAI,Hainaut,281.0
7011,MONS,Hainaut,40.0
6952,NASSOGNE,Luxembourg,102.0
7531,TOURNAI,Hainaut,281.0
7611,RUMES,Hainaut,56.0
4830,LIMBOURG,Liège,6.0
7501,TOURNAI,Hainaut,281.0
3583,BERINGEN,Limbourg,193.0
2627,SCHELLE,Anvers,299.0
8793,WAREGEM,Flandre-Occidentale,297.0
3051,OUD-HEVERLEE,Brabant Flamand,557.0
5333,ASSESSE,Namur,367.0
4683,OUPEYE,Liège,132.0
2323,HOOGSTRATEN,Anvers,500.0
9052,GENT,Flandre-Orientale,496.0
4031,LIÈGE,Liège,83.0
6671,GOUVY,Luxembourg,434.0
6673,GOUVY,Luxembourg,434.0
4784,SAINT-VITH,Liège,58.0
8540,DEERLIJK,Flandre-Occidentale,202.0
9831,SINT-MARTENS-LATEM,Flandre-Orientale,579.0
3941,HECHTEL-EKSEL,Limbourg,134.0
7504,TOURNAI,Hainaut,281.0
1332,RIXENSART,Brabant Wallon,568.0
5031,GEMBLOUX,Namur,177.0
4351,REMICOURT,Liège,175.0
4720,LA CALAMINE,Liège,89.0
6111,MONTIGNY-LE-TILLEUL,Hainaut,243.0
6811,CHINY,Luxembourg,130.0
1342,OTTIGNIES-LOUVAIN-LA-NEUVE,Brabant Wallon,523.0
6688,BERTOGNE,Luxembourg,184.0
8552,ZWEVEGEM,Flandre-Occidentale,158.0
6110,MONTIGNY-LE-TILLEUL,Hainaut,243.0
9401,NINOVE,Flandre-Orientale,267.0
9100,SINT-NIKLAAS,Flandre-Orientale,319.0
6461,CHIMAY,Hainaut,95.0
9473,DENDERLEEUW,Flandre-Orientale,213.0
8954,HEUVELLAND,Flandre-Occidentale,55.0
2610,ANTWERPEN,Anvers,334.0
9060,ZELZATE,Flandre-Orientale,160.0
8550,ZWEVEGEM,Flandre-Occidentale,158.0
5544,HASTIÈRE,Namur,14.0
2030,ANTWERPEN,Anvers,334.0
7382,QUIÉVRAIN,Hainaut,2.0
9881,AALTER,Flandre-Orientale,318.0
6838,BOUILLON,Luxembourg,44.0
5363,HAMOIS,Namur,413.0
5522,ONHAYE,Namur,133.0
8940,WERVIK,Flandre-Occidentale,90.0
1473,GENAPPE,Brabant Wallon,506.0
2540,HOVE,Anvers,517.0
9472,DENDERLEEUW,Flandre-Orientale,213.0
4101,SERAING,Liège,26.0
4701,EUPEN,Liège,169.0
7810,ATH,Hainaut,104.0
5573,BEAURAING,Namur,38.0
2400,MOL,Anvers,239.0
7543,TOURNAI,Hainaut,281.0
3668,AS,Limbourg,181.0
2380,RAVELS,Anvers,547.0
3732,HOESELT,Limbourg,94.0
9040,GENT,Flandre-Orientale,496.0
2300,TURNHOUT,Anvers,277.0
3721,KORTESSEM,Limbourg,206.0
3018,LEUVEN,Brabant Flamand,465.0
8431,MIDDELKERKE,Flandre-Occidentale,71.0
2160,WOMMELGEM,Anvers,428.0
3746,BILZEN,Limbourg,178.0
